date,cluster_id,demand,temperature,supply
2021-01-05,0_10,235.0,11.0,246.0
2021-01-05,0_11,199.0,11.0,203.0
2021-01-05,0_12,22.0,11.0,28.0
2021-01-05,0_13,101.0,11.0,111.0
2021-01-05,0_14,29.0,11.0,26.0
2021-01-05,0_15,108.0,11.0,95.0
2021-01-05,0_16,220.0,11.0,205.0
2021-01-05,0_17,112.0,11.0,108.0
2021-01-05,0_18,39.0,11.0,38.0
2021-01-05,0_2,354.0,11.0,354.0
2021-01-05,0_3,17.0,11.0,13.0
2021-01-05,0_4,56.0,11.0,63.0
2021-01-05,0_5,59.0,11.0,54.0
2021-01-05,0_6,413.0,11.0,400.0
2021-01-05,0_7,153.0,11.0,157.0
2021-01-05,0_8,61.0,11.0,60.0
2021-01-05,0_9,20.0,11.0,20.0
2021-01-05,1_0,20.0,11.0,16.0
2021-01-05,1_1,72.0,11.0,78.0
2021-01-05,1_2,16.0,11.0,17.0
2021-01-05,1_3,1.0,11.0,2.0
2021-01-05,1_4,30.0,11.0,24.0
2021-01-05,1_5,19.0,11.0,21.0
2021-01-05,1_6,23.0,11.0,23.0
2021-01-05,2_0,50.0,11.0,48.0
2021-01-05,2_1,110.0,11.0,108.0
2021-01-05,2_2,57.0,11.0,53.0
2021-01-05,2_3,248.0,11.0,256.0
2021-01-06,0_0,254.0,9.1,277.0
2021-01-06,0_1,6.0,9.1,6.0
2021-01-06,0_10,205.0,9.1,204.0
2021-01-06,0_11,186.0,9.1,182.0
2021-01-06,0_12,21.0,9.1,22.0
2021-01-06,0_13,91.0,9.1,98.0
2021-01-06,0_14,24.0,9.1,23.0
2021-01-06,0_15,83.0,9.1,69.0
2021-01-06,0_16,153.0,9.1,153.0
2021-01-06,0_17,94.0,9.1,89.0
2021-01-06,0_18,21.0,9.1,17.0
2021-01-06,0_2,297.0,9.1,290.0
2021-01-06,0_3,14.0,9.1,18.0
2021-01-06,0_4,48.0,9.1,55.0
2021-01-06,0_5,41.0,9.1,41.0
2021-01-06,0_6,345.0,9.1,344.0
2021-01-06,0_7,125.0,9.1,127.0
2021-01-06,0_8,29.0,9.1,25.0
2021-01-06,0_9,27.0,9.1,24.0
2021-01-06,1_0,38.0,9.1,34.0
2021-01-06,1_1,66.0,9.1,77.0
2021-01-06,1_2,10.0,9.1,14.0
2021-01-06,1_3,3.0,9.1,3.0
2021-01-06,1_4,28.0,9.1,19.0
2021-01-06,1_5,12.0,9.1,15.0
2021-01-06,1_6,31.0,9.1,26.0
2021-01-06,2_0,37.0,9.1,34.0
2021-01-06,2_1,108.0,9.1,108.0
2021-01-06,2_2,54.0,9.1,53.0
2021-01-06,2_3,183.0,9.1,187.0
2021-01-07,0_0,309.0,10.7,318.0
2021-01-07,0_1,13.0,10.7,12.0
2021-01-07,0_10,254.0,10.7,282.0
2021-01-07,0_11,208.0,10.7,215.0
2021-01-07,0_12,24.0,10.7,21.0
2021-01-07,0_13,127.0,10.7,125.0
2021-01-07,0_14,17.0,10.7,17.0
2021-01-07,0_15,132.0,10.7,121.0
2021-01-07,0_16,228.0,10.7,225.0
2021-01-07,0_17,110.0,10.7,115.0
2021-01-07,0_18,25.0,10.7,28.0
2021-01-07,0_2,339.0,10.7,349.0
2021-01-07,0_3,20.0,10.7,18.0
2021-01-07,0_4,47.0,10.7,43.0
2021-01-07,0_5,85.0,10.7,70.0
2021-01-07,0_6,380.0,10.7,367.0
2021-01-07,0_7,146.0,10.7,139.0
2021-01-07,0_8,62.0,10.7,61.0
2021-01-07,0_9,28.0,10.7,27.0
2021-01-07,1_0,31.0,10.7,24.0
2021-01-07,1_1,65.0,10.7,71.0
2021-01-07,1_2,10.0,10.7,14.0
2021-01-07,1_3,1.0,10.7,1.0
2021-01-07,1_4,48.0,10.7,37.0
2021-01-07,1_5,24.0,10.7,25.0
2021-01-07,1_6,28.0,10.7,36.0
2021-01-07,2_0,46.0,10.7,43.0
2021-01-07,2_1,88.0,10.7,88.0
2021-01-07,2_2,60.0,10.7,70.0
2021-01-07,2_3,177.0,10.7,170.0
2021-01-08,0_0,328.0,11.7,350.0
2021-01-08,0_1,8.0,11.7,10.0
2021-01-08,0_10,220.0,11.7,229.0
2021-01-08,0_11,231.0,11.7,227.0
2021-01-08,0_12,21.0,11.7,19.0
2021-01-08,0_13,142.0,11.7,129.0
2021-01-08,0_14,27.0,11.7,24.0
2021-01-08,0_15,108.0,11.7,91.0
2021-01-08,0_16,207.0,11.7,189.0
2021-01-08,0_17,112.0,11.7,127.0
2021-01-08,0_18,21.0,11.7,21.0
2021-01-08,0_2,403.0,11.7,396.0
2021-01-08,0_3,12.0,11.7,11.0
2021-01-08,0_4,55.0,11.7,51.0
2021-01-08,0_5,68.0,11.7,67.0
2021-01-08,0_6,394.0,11.7,407.0
2021-01-08,0_7,145.0,11.7,155.0
2021-01-08,0_8,40.0,11.7,42.0
2021-01-08,0_9,27.0,11.7,25.0
2021-01-08,1_0,36.0,11.7,38.0
2021-01-08,1_1,85.0,11.7,96.0
2021-01-08,1_2,18.0,11.7,22.0
2021-01-08,1_3,1.0,11.7,1.0
2021-01-08,1_4,59.0,11.7,45.0
2021-01-08,1_5,23.0,11.7,21.0
2021-01-08,1_6,23.0,11.7,21.0
2021-01-08,2_0,29.0,11.7,30.0
2021-01-08,2_1,83.0,11.7,87.0
2021-01-08,2_2,62.0,11.7,51.0
2021-01-08,2_3,197.0,11.7,203.0
2021-01-09,0_0,397.0,10.4,432.0
2021-01-09,0_1,14.0,10.4,14.0
2021-01-09,0_10,314.0,10.4,310.0
2021-01-09,0_11,214.0,10.4,224.0
2021-01-09,0_12,43.0,10.4,41.0
2021-01-09,0_13,178.0,10.4,202.0
2021-01-09,0_14,34.0,10.4,34.0
2021-01-09,0_15,198.0,10.4,201.0
2021-01-09,0_16,340.0,10.4,284.0
2021-01-09,0_17,225.0,10.4,246.0
2021-01-09,0_18,66.0,10.4,82.0
2021-01-09,0_2,525.0,10.4,494.0
2021-01-09,0_3,15.0,10.4,16.0
2021-01-09,0_4,93.0,10.4,106.0
2021-01-09,0_5,125.0,10.4,138.0
2021-01-09,0_6,455.0,10.4,426.0
2021-01-09,0_7,220.0,10.4,201.0
2021-01-09,0_8,143.0,10.4,158.0
2021-01-09,0_9,46.0,10.4,36.0
2021-01-09,1_0,26.0,10.4,25.0
2021-01-09,1_1,104.0,10.4,106.0
2021-01-09,1_2,17.0,10.4,18.0
2021-01-09,1_3,1.0,10.4,1.0
2021-01-09,1_4,62.0,10.4,52.0
2021-01-09,1_5,28.0,10.4,31.0
2021-01-09,1_6,24.0,10.4,29.0
2021-01-09,2_0,33.0,10.4,34.0
2021-01-09,2_1,107.0,10.4,102.0
2021-01-09,2_2,69.0,10.4,65.0
2021-01-09,2_3,189.0,10.4,197.0
2021-01-10,0_0,281.0,10.4,283.0
2021-01-10,0_1,11.0,10.4,16.0
2021-01-10,0_10,202.0,10.4,190.0
2021-01-10,0_11,171.0,10.4,200.0
2021-01-10,0_12,34.0,10.4,37.0
2021-01-10,0_13,130.0,10.4,125.0
2021-01-10,0_14,24.0,10.4,24.0
2021-01-10,0_15,191.0,10.4,170.0
2021-01-10,0_16,253.0,10.4,249.0
2021-01-10,0_17,151.0,10.4,186.0
2021-01-10,0_18,44.0,10.4,45.0
2021-01-10,0_2,362.0,10.4,354.0
2021-01-10,0_3,10.0,10.4,14.0
2021-01-10,0_4,88.0,10.4,82.0
2021-01-10,0_5,117.0,10.4,112.0
2021-01-10,0_6,335.0,10.4,317.0
2021-01-10,0_7,135.0,10.4,135.0
2021-01-10,0_8,109.0,10.4,107.0
2021-01-10,0_9,20.0,10.4,22.0
2021-01-10,1_0,34.0,10.4,28.0
2021-01-10,1_1,71.0,10.4,75.0
2021-01-10,1_2,14.0,10.4,20.0
2021-01-10,1_4,43.0,10.4,38.0
2021-01-10,1_5,21.0,10.4,20.0
2021-01-10,1_6,21.0,10.4,23.0
2021-01-10,2_0,47.0,10.4,45.0
2021-01-10,2_1,102.0,10.4,100.0
2021-01-10,2_2,48.0,10.4,52.0
2021-01-10,2_3,181.0,10.4,181.0
2021-01-11,0_0,304.0,11.2,324.0
2021-01-11,0_1,22.0,11.2,21.0
2021-01-11,0_10,245.0,11.2,261.0
2021-01-11,0_11,218.0,11.2,223.0
2021-01-11,0_12,29.0,11.2,23.0
2021-01-11,0_13,145.0,11.2,137.0
2021-01-11,0_14,24.0,11.2,20.0
