station_id,lat,lng,region,sub_region_cluster,cluster_id
SF-D27,37.79527137217985,-122.40472595379633,0,13,0_13
SF-D27-2,37.79718744725656,-122.40364824248553,0,13,0_13
SF-D27-3,37.796555889965084,-122.40157506325761,0,13,0_13
SF-D28,37.797284218655406,-122.3984613271788,0,13,0_13
SF-D29,37.79642105416592,-122.39459423621489,0,0,0_0
SF-E18,37.78958551151606,-122.44069939235594,0,16,0_16
SF-E20,37.79056828687476,-122.43251037977264,0,17,0_17
SF-E21,37.79189565206867,-122.4292892586918,0,17,0_17
SF-E22,37.793031674333974,-122.42346513733231,0,17,0_17
SF-E23,37.79410831634639,-122.42169885693147,0,17,0_17
SF-E27,37.79404635608086,-122.40290512594864,0,13,0_13
SF-E28,37.79503549163036,-122.40003252859073,0,13,0_13
SF-E28-2,37.793135665094624,-122.39855463151436,0,0,0_0
SF-E28-3,37.79339554223589,-122.39998925331312,0,0,0_0
SF-E29-1,37.79535051647806,-122.39428805920959,0,0,0_0
SF-E29-2,37.79453031115042,-122.39490994879488,0,0,0_0
SF-E29-3,37.79212017709937,-122.39735702633111,0,0,0_0
SF-F15,37.78667636184719,-122.4533726498898,0,4,0_4
SF-F16,37.786641728086934,-122.450038404133,0,4,0_4
SF-F17-1,37.78934279525312,-122.44509731354559,0,4,0_4
SF-F18,37.78808005603867,-122.43878730048291,0,16,0_16
SF-F19,37.78846825030869,-122.43538640816115,0,16,0_16
SF-F23,37.787594502486506,-122.42016817932328,0,6,0_6
SF-F23-2,37.788415599322015,-122.42024043427185,0,6,0_6
SF-F23-3,37.790574683430016,-122.41903662637927,0,6,0_6
SF-F26,37.788442332315206,-122.40840194826073,0,6,0_6
SF-F26-2,37.789772045676344,-122.40542376666465,0,0,0_0
SF-F27,37.78889716675119,-122.40350683127893,0,0,0_0
SF-F28-1,37.79133408230262,-122.3990090111534,0,0,0_0
SF-F28-2,37.789956689661736,-122.40122000008658,0,0,0_0
SF-F29,37.79033982790576,-122.39381659951567,0,0,0_0
SF-F30-1,37.79143941437639,-122.39103422710366,0,0,0_0
SF-F30-2,37.789454576081624,-122.39054088970703,0,0,0_0
SF-F30-3,37.78905066538282,-122.39235564837055,0,0,0_0
